date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-12-16,82.0799,83.1793,80.5107,82.8424,16917859,16917859,0.602877,0.733,82.0995,"Dec 16, 15",-0.08979198987417428
2015-12-17,82.8956,83.3389,80.1472,80.2713,14082454,14082454,-2.5711,-3.104,81.5391,"Dec 17, 15",-0.11804124164421609
2015-12-18,79.8457,80.9185,79.1719,79.6241,20167178,20167178,-0.647206,-0.806,79.9483,"Dec 18, 15",-0.12515217305317372
2015-12-21,80.1472,80.4131,78.2055,79.1187,12852265,12852265,-0.505353,-0.635,79.1434,"Dec 21, 15",-0.13070511609100927
2015-12-22,79.0123,80.4929,78.2853,80.0319,9661724,9661724,0.91318,1.154,79.7962,"Dec 22, 15",-0.12067158308319088
2015-12-23,81.743,83.2059,81.1845,83.1704,11172797,11172797,3.1385,3.922,82.4252,"Dec 23, 15",-0.0861881803838496
2015-12-24,83.2945,83.2945,81.5746,81.61,4998746,4998746,-1.5604,-1.876,82.0026,"Dec 24, 15",-0.10333264480062578
2015-12-28,80.0674,80.4309,79.5177,80.1117,6799990,6799990,-1.4983,-1.836,80.0494,"Dec 28, 15",-0.11979480260353256
2015-12-29,81.4682,82.0799,80.7435,80.9008,6471219,6471219,0.789059,0.985,81.0525,"Dec 29, 15",-0.1111247841010472
2015-12-30,79.8812,80.6614,79.695,79.8723,5600215,5600215,-1.0284,-1.271,80.0031,"Dec 30, 15",-0.12242514404250736
2015-12-31,79.2429,80.555,78.9255,79.7571,6988718,6988718,-0.115257,-0.144,79.845,"Dec 31, 15",-0.12369087225374335
2016-01-04,79.3758,79.8901,77.6381,78.773,11397278,11397278,-0.984105,-1.234,78.5184,"Jan 4, 16",-0.13450339944712286
2016-01-05,78.9503,79.4822,77.8775,79.4468,7883427,7883427,0.673803,0.855,78.7616,"Jan 5, 16",-0.1271002078782791
2016-01-06,77.5229,77.8243,75.5015,76.3083,14511395,14511395,-3.1385,-3.95,76.4162,"Jan 6, 16",-0.16158361057762025
2016-01-07,74.9607,76.0246,73.2939,73.6042,15368822,15368822,-2.7041,-3.544,74.3304,"Jan 7, 16",-0.19129416314709244
2016-01-08,73.9322,74.3312,72.0084,72.8151,11891638,11891638,-0.789058,-1.072,73.043,"Jan 8, 16",-0.1999641816495778
2016-01-11,73.4535,73.5598,70.7228,71.6094,14366364,14366364,-1.2058,-1.656,71.8943,"Jan 11, 16",-0.21321147769373774
2016-01-12,72.8772,73.0546,70.6519,72.8329,13477497,13477497,1.2235,1.709,71.949,"Jan 12, 16",-0.1997686090613834
2016-01-13,73.7283,74.6947,70.9356,72.1059,15550097,15550097,-0.726999,-0.998,72.5544,"Jan 13, 16",-0.20775632094999924
2016-01-14,72.6555,76.3969,71.769,75.7763,16433363,16433363,3.6705,5.09,74.9951,"Jan 14, 16",-0.1674288137753419
2016-01-15,72.3807,74.3046,71.698,74.1805,17870289,17870289,-1.5958,-2.106,73.3759,"Jan 15, 16",-0.18496222592369593
